Land amount,ETH address
68,0x050dfa02e5bf767561fa6c5d4a6fee8419681861
1,0x0735b34a9eb4d4cbe656919146d6b7a8807f789c
10,0x16a59020e5054da726a4d6d0d465758eb0b49e7c
74,0x187a1af38e680252dadb72782ae91db22c8d76c5
46,0x25e67718de811753533b34d83d2b76b7d2247e8e
1,0x366b3d450c718711891a458b6e149e121e6453d2
1,0x4079bb214d043cdf4f7584f20ec64d3f54e27fe5
3,0x435d467c2dbd90562924de65c3b3eb1b172b1623
30,0x486465cc74d003fac6085b176586cf4d0b9e643a
1,0x4941004320ff4a3b6eda4379fbf47d350f46021e
1,0x4e5c8f6cd3371bf38216edfe676445fb465f4125
10,0x54176d1e39bd0f7984738a76715bbecb2967121f
1,0x590c8df3be3778b79e7f3273f0d4437a19895afd
1,0x6f8cfb00da337cfa60ef9fc9f1f21d0cad71db22
1,0x8f5f2e0ebf9d45d5738d60d4f80462641b98c7dd
1,0x92dd6f8a828be5f8bd4a4b01e1984912ceb0b28c
25,0x98cf4b8152a043f9beef7b6557b9db99ffa7c704
1,0xae97d2491e6cb722eeead7ea33c44d4e77274d84
1,0xb20bf9c3f57e063d493419ce343fa6f4ef196d1c
1,0xb24b768cb274505828be2fb7369d2b3246298e66
1,0xbf94c56c83f79ccbc55885232432e18d7e8be124
108,0xc5994aba8b23000c645e4661e87b92d0fd85a6b9
1,0xc93a05bbd0e03c2c4a8f0d0165d52ff901ad659c
10,0xd17bb416683288b784aba9a5f8b5fc8aa60b0a0b
1,0xd825e4ae961c24ffea73c2c73ad6f490c5f93557
4,0xd9935d39c5d7f8699a5db139ca2182ee9169ffc4
5,0xe4221536822e764c69b7b5dcf0064620bfc497cb
1,0xeb4c20b3318f76766bdf5f91451487b75843a986
1,0xf11de9f660c2bba83771d7dab1a8e3d8816cf1d2
4,0xff6bbfbd72551f02be3109ad6eec9ed469bf7667